Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric",21.056600,44.081700,0.000000,top
"D1","SM4007PL","D_SOD-123F",13.423900,45.796200,90.000000,top
"Q1","S8050 NPN","SOT-23",16.713200,44.815760,180.000000,top
"R1","820","R_0805_2012Metric",24.193500,44.399200,270.000000,top
"R2","820","R_0805_2012Metric",28.575000,44.462700,270.000000,top
"R3","820","R_0805_2012Metric",26.416000,44.411900,270.000000,top
"R4","820","R_0805_2012Metric",30.797500,44.462700,270.000000,top
"R5","3K3","R_0805_2012Metric",16.662400,48.120300,180.000000,top
"U1","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm",17.170400,36.537900,270.000000,top
